,Text,Season,Date,Sentiment Analysis
78,How do magician s learn those tricks The internet Anna age 8 ,9,6/3/13,"{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.128}"
79,I m at the gym and I reaalllyyy want to watch thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.0772}"
80,Go with the gay attorney if you don t want to have sex ,9,6/3/13,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.0772}"
81,Socially awkward moments two words thebachelorette,9,6/3/13,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.1531}"
82,Finally watching thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
83,Swear to god if I see a tweet about there being a Larry on thebachelorette I AM,9,6/3/13,"{'neg': 0.084, 'neu': 0.769, 'pos': 0.147, 'compound': 0.2263}"
84,A mess A fuckin mess you almost ripped her dress ,9,6/3/13,"{'neg': 0.455, 'neu': 0.545, 'pos': 0.0, 'compound': -0.6124}"
85,the introductions are always so awkkk i can t deal ,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
86,Brandon thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
87,Whew I wouldn t wear a shirt either if I were him thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
88,What a jackass ,9,6/3/13,"{'neg': 0.737, 'neu': 0.263, 'pos': 0.0, 'compound': -0.4215}"
89,Why are these guys sooooo fucking corny Keys abs athena Like dang ,9,6/3/13,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}"
90,No other tv show makes me want to vomit hide my face in embarrassment more thebachelorette,9,6/3/13,"{'neg': 0.338, 'neu': 0.597, 'pos': 0.065, 'compound': -0.6705}"
91,Quick cure for hatingyourhusband blues watch opening sequences of thebachelorette God what a passel of douchebags,9,6/3/13,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}"
92,These fools Lol thebachelorette,9,6/3/13,"{'neg': 0.4, 'neu': 0.25, 'pos': 0.35, 'compound': -0.1027}"
93,Watching  with Gigi,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
94,These guys intoducing themselves reminds me of drunk creeps trying to score at a bar thebachelorette,9,6/3/13,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.34}"
95,All these dudes on  look the same Wow One brutha tho He ll get kicked off tonight TokenChocolate,9,6/3/13,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.5859}"
96,Omg it s like a train wreck but I can t look away meetingthemen thebachelorette,9,6/3/13,"{'neg': 0.154, 'neu': 0.709, 'pos': 0.138, 'compound': -0.0516}"
97,Robert thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
98,Ohhh so the hashtag guy works in social media Makes a little more sense now thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
99,My TV loves me back when I watch The Bachelorette with ViggleTV  viggle,9,6/3/13,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}"
100,Hashtag corny ,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
101,Will youstand up to Bullying SIGN HERE thebachelorette TV thevoice,9,6/3/13,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.5994}"
102,This guy brings her a frigging WISHBONE LIke a where did you GET a wishbone and b why omg why thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.4173}"
103,thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
104,Awwww That was suave with the wishbone ,9,6/3/13,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.4588}"
105,thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
106,Bryden s so sweet ,9,6/3/13,"{'neg': 0.0, 'neu': 0.378, 'pos': 0.622, 'compound': 0.5095}"
107,I m watching  with 54 others on GetGlue,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
108,Desiree you turn lesbian for me I ll turn leabian for you thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
109,Recording Kardashians so I can catch up on thebachelorette guiltypleasure chickshows,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
110,thebachelorette What am i doing with my life,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
111,Good LAWD these men thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}"
112,the fact that my mom and my mama in law beautiful love  is just AMAZING lt 3,9,6/3/13,"{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.9278}"
113,Catching up on  Gotta say as corny as the gimmick was TheShirtlessWonder Kinda Hot WillAcceptThoseAbs,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
114,So many hot guys on  mygod,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
115,thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
116,Which guy on the new season of  is Sean Lowe not happy with,9,6/3/13,"{'neg': 0.193, 'neu': 0.71, 'pos': 0.097, 'compound': -0.3607}"
117,My TV loves me back when I watch The Bachelorette with ViggleTV  viggle,9,6/3/13,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}"
118,Des definitely has some good lookin men after her thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6808}"
119,How does one invent sign spinning He s just playing with a big board thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2023}"
120,The happiest you can be is when you are in love thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.8555}"
121,I will gladly take any of the guys Desiree discards thebachelorette,9,6/3/13,"{'neg': 0.161, 'neu': 0.645, 'pos': 0.194, 'compound': 0.1027}"
122,ViggleTV makes watching The Bachelorette even more entertaining  viggle,9,6/3/13,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.4927}"
123,Watching thebachelorette where do they find these men signmeup,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
124,Me and my mom came to the conclusion that all the guys on thebachelorette are gay,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
125,24 guys just waiting to be dumped Anna age 8 ,9,6/3/13,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}"
126,Getting more from The Bachelorette with ViggleTV  viggle,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
127,Just watched thebachelorette premiere with Fights drinking drama this season is gonna be juicy lazysundays teamnigro,9,6/3/13,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4019}"
128,thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
129,Holy shit drew Please marry me sosexy thebachelorette,9,6/3/13,"{'neg': 0.303, 'neu': 0.504, 'pos': 0.193, 'compound': -0.3182}"
130,Watching another season of thebachelorette takes me back to my fairytale romance land,9,6/10/13,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5574}"
131,Ahhh I didn t get a retweet but a personal message from the one and only This guy  imweird,9,6/10/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
132,I would ve lost on the first date they danced thebachelorette,9,6/10/13,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}"
133,OMG Who is Catherine Giudici s fave guy on ,9,6/10/13,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
134,24 hours from now thebachelorette,9,6/10/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
135,In reality we hate reality tv NOT reality kardashians thebachelorette survivor Must we continue,9,6/10/13,"{'neg': 0.203, 'neu': 0.659, 'pos': 0.137, 'compound': -0.296}"
136, tomorrow or no I m still behind but ohwell,9,6/10/13,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.1531}"
137,My husbands take on the latest episode of ,9,6/10/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
