,Season,Episode,Title,Date Aired,Contestants,Voted Off
55,13,6,Week 5,6/27/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']",
56,13,7,Week 6,7/10/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']",
57,13,8,Week 7,7/17/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']",
58,13,9,Week 8,7/24/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']",
60,13,11,Week 9,8/7/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']",
61,14,1,Week 1,5/28/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",
62,14,2,Week 2,6/4/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",
63,14,3,Week 3,6/11/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",
64,14,4,Week 4,6/18/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",
65,14,5,Week 5,6/25/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",
66,14,6,Week 6,7/2/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",
67,14,7,Week 7,7/9/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",
68,14,8,Week 8,7/16/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",
69,14,9,Week 9,7/23/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",
71,14,11,Week 10,8/6/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",
72,15,1,Week 1,5/13/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
73,15,2,Week 2,5/20/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
74,15,3,Week 3,5/27/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
75,15,4,Week 4,6/3/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
77,15,6,Week 5,6/17/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
78,15,7,Week 6,6/24/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
79,15,8,Week 7,7/1/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
80,15,9,Week 8,7/8/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
81,15,10,Week 9,7/15/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
83,15,12,Week 10,7/29/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
85,16,1,Week 1,10/13/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
86,16,2,Week 2,10/20/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
87,16,3,Week 3,10/27/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
88,16,4,Week 4,11/5/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
89,16,5,Week 5,11/10/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
90,16,6,Week 6,11/17/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
91,16,7,Week 7,11/24/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
92,16,8,Week 8,12/1/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
93,16,9,Week 9,12/8/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
94,16,10,Week 10,12/14/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
95,16,11,Week 11,12/15/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
96,16,12,Week 12,12/21/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
